Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2008	163	University_of_Chicago						
2008	147	University_of_Lethbridge	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	149	University_of_Ottawa	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	153	University_of_Sheffield						
2008	109	University_of_Washington	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	89	Utah_State	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	141	Valencia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	156	Virginia	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	114	WEGO_Taipei						
2008	103	Warsaw	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	93	Waterloo	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	130	Wisconsin	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	94	iHKU	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	182	Aberdeen_Scotland	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	187	Alberta	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	178	Amsterdam						
2009	221	ArtScienceBangalore	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	259	BCCS-Bristol	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	260	BIOTEC_Dresden	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	184	Bay_Area_RSI						
2009	198	Berkeley_Software	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	197	Berkeley_Wetlab	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	201	Bologna	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	206	British_Columbia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
